"program","year","week","site","depth","BT","weekly_mean_temp","dhw","annual_max"
"TCRMP",2018,28,"Great Pond",4,30,28.2477083333333,0,0
"TCRMP",2008,29,"Great Pond",4,30,28.3843898809524,0,0
"TCRMP",2009,29,"Great Pond",4,30,28.9224464285714,0,0
"TCRMP",2010,29,"Great Pond",4,30,28.9746666666667,0,0
"TCRMP",2011,29,"Great Pond",4,30,29.3376517857143,0,0
"TCRMP",2012,29,"Great Pond",4,30,28.8949330357143,0,0
"TCRMP",2013,29,"Great Pond",4,30,28.6046205357143,0,0
"TCRMP",2014,29,"Great Pond",4,30,28.5516130952381,0,0
"TCRMP",2015,29,"Great Pond",4,30,28.2847827380952,0,0
"TCRMP",2017,29,"Great Pond",4,30,29.2527752976191,0,0
"TCRMP",2018,29,"Great Pond",4,30,28.5673839285714,0,0
"TCRMP",2008,30,"Great Pond",4,30,28.4481785714286,0,0
"TCRMP",2009,30,"Great Pond",4,30,28.6647648809524,0,0
"TCRMP",2010,30,"Great Pond",4,30,29.600369047619,0,0
"TCRMP",2011,30,"Great Pond",4,30,29.1809077380952,0,0
"TCRMP",2012,30,"Great Pond",4,30,29.0584598214286,0,0
"TCRMP",2013,30,"Great Pond",4,30,28.8069389880952,0,0
"TCRMP",2014,30,"Great Pond",4,30,28.8107916666667,0,0
"TCRMP",2015,30,"Great Pond",4,30,28.8233020833333,0,0
"TCRMP",2017,30,"Great Pond",4,30,29.6189791666667,0,0
"TCRMP",2018,30,"Great Pond",4,30,28.6335193452381,0,0
"TCRMP",2008,31,"Great Pond",4,30,28.4968601190476,0,0
"TCRMP",2009,31,"Great Pond",4,30,28.6595892857143,0,0
"TCRMP",2010,31,"Great Pond",4,30,29.9167946428572,0,0
"TCRMP",2011,31,"Great Pond",4,30,29.046869047619,0,0
"TCRMP",2012,31,"Great Pond",4,30,28.8998258928571,0,0
"TCRMP",2013,31,"Great Pond",4,30,29.2751711309524,0,0
"TCRMP",2014,31,"Great Pond",4,30,28.7284360119048,0,0
"TCRMP",2015,31,"Great Pond",4,30,28.7950892857143,0,0
"TCRMP",2017,31,"Great Pond",4,30,29.3533958333333,0,0
"TCRMP",2018,31,"Great Pond",4,30,28.5823809523809,0,0
"TCRMP",2008,32,"Great Pond",4,30,29.1038630952381,0,0
"TCRMP",2009,32,"Great Pond",4,30,28.9729375,0,0
"TCRMP",2010,32,"Great Pond",4,30,29.9711339285714,0,0
"TCRMP",2011,32,"Great Pond",4,30,29.4671592261905,0,0
"TCRMP",2012,32,"Great Pond",4,30,29.04878125,0,0
"TCRMP",2013,32,"Great Pond",4,30,29.2465744047619,0,0
"TCRMP",2014,32,"Great Pond",4,30,28.8881994047619,0,0
"TCRMP",2015,32,"Great Pond",4,30,29.0051979166667,0,0
"TCRMP",2017,32,"Great Pond",4,30,29.3959449404762,0,0
"TCRMP",2018,32,"Great Pond",4,30,28.8627633928571,0,0
"TCRMP",2008,33,"Great Pond",4,30,29.2761607142857,0,0
"TCRMP",2009,33,"Great Pond",4,30,28.974193452381,0,0
"TCRMP",2010,33,"Great Pond",4,30,30.4018898809524,1.4018898809524,0
"TCRMP",2011,33,"Great Pond",4,30,29.4386324404762,0,0
"TCRMP",2012,33,"Great Pond",4,30,29.1129479166667,0,0
"TCRMP",2013,33,"Great Pond",4,30,29.1593415890269,0,0
"TCRMP",2014,33,"Great Pond",4,30,28.7460029761905,0,0
"TCRMP",2015,33,"Great Pond",4,30,29.0258586309524,0,0
"TCRMP",2017,33,"Great Pond",4,30,29.4338482142857,0,0
"TCRMP",2018,33,"Great Pond",4,30,28.9609776785714,0,0
"TCRMP",2008,34,"Great Pond",4,30,29.4148005952381,0,0
"TCRMP",2009,34,"Great Pond",4,30,29.0032232142857,0,0
"TCRMP",2010,34,"Great Pond",4,30,30.524068452381,2.92595833333336,1
"TCRMP",2011,34,"Great Pond",4,30,29.0210520833334,0,0
"TCRMP",2012,34,"Great Pond",4,30,28.6712916666667,0,0
"TCRMP",2013,34,"Great Pond",4,30,29.2823690476191,0,0
"TCRMP",2014,34,"Great Pond",4,30,28.7784955357143,0,0
"TCRMP",2015,34,"Great Pond",4,30,29.24446875,0,0
"TCRMP",2017,34,"Great Pond",4,30,29.6840461309524,0,0
"TCRMP",2018,34,"Great Pond",4,30,29.0225758928571,0,0
"TCRMP",2008,35,"Great Pond",4,30,29.4364226190476,0,0
"TCRMP",2009,35,"Great Pond",4,30,29.2901964285714,0,0
"TCRMP",2010,35,"Great Pond",4,30,29.7830863095238,2.92595833333336,0
"TCRMP",2011,35,"Great Pond",4,30,29.7130297619048,0,0
"TCRMP",2012,35,"Great Pond",4,30,28.7400729166667,0,0
"TCRMP",2013,35,"Great Pond",4,30,29.3916592261905,0,0
"TCRMP",2014,35,"Great Pond",4,30,28.9014092261905,0,0
"TCRMP",2015,35,"Great Pond",4,30,29.1359404761905,0,0
"TCRMP",2017,35,"Great Pond",4,30,29.9284613095238,0,0
"TCRMP",2018,35,"Great Pond",4,30,28.8051116071429,0,0
"TCRMP",2008,36,"Great Pond",4,30,29.7042664835165,0,0
"TCRMP",2009,36,"Great Pond",4,30,29.1002232142857,0,0
"TCRMP",2010,36,"Great Pond",4,30,29.8738601190476,2.92595833333336,0
"TCRMP",2011,36,"Great Pond",4,30,29.8815029761905,0,0
